Record ID,Year,District,Crime_Type,Victim_Gender,Time_of_Incident,Location_Type,Number_of_Accused,Reported_To_Police,Crime_Severity
1,2020,Salem,Sexual Crime,Male,Morning,Urban,3,Yes,Moderate
2,2017,Salem,Cyber Crime,Other,Morning,Rural,2,Yes,Low
3,2024,Tiruchirappalli,Property Crime,Male,Evening,Urban,3,No,Low
4,2021,Tiruchirappalli,Sexual Crime,Female,Morning,Urban,5,No,High
5,2018,Chennai,Economic Offense,Male,Morning,Rural,1,No,Low
6,2020,Erode,Property Crime,Other,Morning,Rural,3,Yes,Low
7,2023,Thoothukudi,Property Crime,Female,Afternoon,Urban,5,No,Low
8,2016,Madurai,Violent Crime,Female,Evening,Urban,3,Yes,Moderate
9,2020,Coimbatore,Sexual Crime,Other,Afternoon,Urban,5,Yes,Moderate
10,2024,Madurai,Violent Crime,Other,Evening,Urban,2,Yes,Low
11,2024,Chennai,Sexual Crime,Other,Afternoon,Semi-Urban,5,No,High
12,2021,Vellore,Cyber Crime,Male,Morning,Urban,4,Yes,Low
13,2018,Erode,Violent Crime,Male,Afternoon,Semi-Urban,1,No,Low
14,2017,Coimbatore,Violent Crime,Male,Afternoon,Rural,5,No,High
15,2021,Tirunelveli,Economic Offense,Other,Evening,Semi-Urban,3,Yes,Low
16,2021,Vellore,Violent Crime,Other,Evening,Rural,3,Yes,Moderate
17,2016,Tiruchirappalli,Sexual Crime,Male,Afternoon,Semi-Urban,5,Yes,Moderate
18,2019,Salem,Economic Offense,Female,Evening,Rural,4,Yes,Moderate
19,2018,Tirunelveli,Violent Crime,Male,Evening,Urban,5,No,Moderate
20,2015,Madurai,Violent Crime,Female,Evening,Semi-Urban,2,No,Low
21,2021,Madurai,Cyber Crime,Other,Night,Semi-Urban,4,No,High
22,2019,Tiruchirappalli,Violent Crime,Other,Evening,Rural,5,No,High
23,2015,Chennai,Property Crime,Male,Night,Rural,1,No,Moderate
24,2018,Thoothukudi,Economic Offense,Male,Night,Semi-Urban,4,No,High
25,2014,Tirunelveli,Property Crime,Other,Evening,Rural,5,No,Moderate
26,2023,Tirunelveli,Economic Offense,Male,Afternoon,Urban,1,No,Low
27,2019,Dindigul,Cyber Crime,Other,Evening,Semi-Urban,5,No,Moderate
28,2022,Vellore,Violent Crime,Other,Morning,Urban,2,Yes,Low
29,2014,Erode,Violent Crime,Female,Afternoon,Semi-Urban,3,Yes,Moderate
30,2024,Vellore,Violent Crime,Male,Night,Urban,5,No,High
31,2024,Thoothukudi,Economic Offense,Other,Night,Semi-Urban,4,No,High
32,2023,Madurai,Violent Crime,Male,Afternoon,Rural,5,Yes,Moderate
33,2016,Madurai,Property Crime,Female,Afternoon,Semi-Urban,5,Yes,Low
34,2020,Madurai,Violent Crime,Female,Evening,Urban,5,Yes,Moderate
35,2017,Dindigul,Cyber Crime,Male,Night,Semi-Urban,5,No,High
36,2022,Madurai,Property Crime,Male,Morning,Urban,4,Yes,Low
37,2016,Thoothukudi,Violent Crime,Other,Evening,Urban,4,Yes,Moderate
38,2018,Tiruchirappalli,Violent Crime,Female,Afternoon,Urban,5,Yes,Moderate
39,2016,Erode,Sexual Crime,Female,Night,Rural,3,Yes,Very High
40,2020,Thoothukudi,Economic Offense,Female,Afternoon,Semi-Urban,5,Yes,Low
41,2018,Erode,Property Crime,Male,Afternoon,Urban,4,No,Low
42,2022,Thoothukudi,Sexual Crime,Other,Afternoon,Rural,2,Yes,Moderate
43,2020,Madurai,Cyber Crime,Male,Evening,Urban,5,No,Moderate
44,2015,Tiruchirappalli,Economic Offense,Male,Morning,Semi-Urban,5,Yes,Low
45,2017,Tirunelveli,Property Crime,Male,Morning,Rural,5,Yes,Low
46,2022,Vellore,Violent Crime,Other,Night,Urban,5,Yes,High
47,2015,Salem,Property Crime,Male,Afternoon,Urban,1,Yes,Very Low
48,2023,Tiruchirappalli,Violent Crime,Female,Morning,Urban,5,Yes,Moderate
49,2022,Tirunelveli,Economic Offense,Female,Afternoon,Semi-Urban,4,No,Moderate
50,2023,Chennai,Violent Crime,Female,Night,Rural,4,No,Very High
51,2018,Thoothukudi,Cyber Crime,Other,Afternoon,Rural,1,No,Low
52,2015,Chennai,Violent Crime,Male,Morning,Rural,5,No,High
53,2017,Tirunelveli,Cyber Crime,Other,Afternoon,Urban,3,No,Moderate
54,2020,Tiruchirappalli,Economic Offense,Male,Morning,Rural,5,No,Moderate
55,2021,Thoothukudi,Economic Offense,Female,Night,Urban,4,No,High
56,2016,Salem,Property Crime,Male,Afternoon,Semi-Urban,2,Yes,Very Low
57,2014,Madurai,Cyber Crime,Male,Morning,Rural,2,No,Low
58,2017,Thoothukudi,Cyber Crime,Male,Night,Urban,3,Yes,Moderate
59,2015,Thoothukudi,Sexual Crime,Other,Afternoon,Rural,5,Yes,High
60,2021,Tiruchirappalli,Sexual Crime,Male,Night,Rural,1,No,High
61,2017,Tiruchirappalli,Sexual Crime,Male,Morning,Semi-Urban,5,Yes,Moderate
62,2015,Tirunelveli,Violent Crime,Male,Afternoon,Rural,3,Yes,Moderate
63,2019,Coimbatore,Sexual Crime,Other,Afternoon,Semi-Urban,3,No,High
64,2019,Thoothukudi,Cyber Crime,Other,Afternoon,Rural,3,Yes,Moderate
65,2023,Vellore,Violent Crime,Other,Night,Rural,2,No,High
66,2017,Thoothukudi,Economic Offense,Male,Night,Rural,5,Yes,High
67,2019,Tirunelveli,Property Crime,Female,Morning,Rural,5,No,Moderate
68,2015,Erode,Sexual Crime,Female,Evening,Rural,1,Yes,Moderate
69,2023,Chennai,Economic Offense,Female,Afternoon,Rural,3,No,Moderate
70,2015,Madurai,Cyber Crime,Male,Afternoon,Semi-Urban,3,Yes,Low
71,2023,Coimbatore,Property Crime,Female,Morning,Semi-Urban,4,No,Low
72,2017,Salem,Economic Offense,Female,Afternoon,Urban,4,Yes,Low
73,2021,Salem,Property Crime,Female,Night,Rural,2,Yes,Low
74,2020,Salem,Sexual Crime,Male,Night,Semi-Urban,5,No,Very High
75,2022,Tiruchirappalli,Cyber Crime,Female,Afternoon,Rural,1,Yes,Low
76,2021,Salem,Property Crime,Female,Afternoon,Rural,1,No,Low
77,2018,Madurai,Economic Offense,Male,Night,Semi-Urban,3,Yes,Moderate
78,2015,Chennai,Sexual Crime,Other,Afternoon,Rural,1,Yes,Moderate
79,2018,Salem,Sexual Crime,Female,Night,Semi-Urban,3,No,Very High
80,2021,Thoothukudi,Economic Offense,Other,Evening,Semi-Urban,5,Yes,Low
81,2023,Thoothukudi,Economic Offense,Female,Evening,Urban,1,No,Low
82,2022,Tiruchirappalli,Property Crime,Male,Afternoon,Urban,3,Yes,Low
83,2022,Madurai,Violent Crime,Other,Afternoon,Urban,5,Yes,Moderate
84,2014,Chennai,Sexual Crime,Other,Afternoon,Urban,5,Yes,Moderate
85,2022,Coimbatore,Property Crime,Other,Night,Rural,3,Yes,Moderate
86,2020,Tirunelveli,Economic Offense,Other,Evening,Rural,3,No,Moderate
87,2022,Chennai,Property Crime,Female,Evening,Urban,2,No,Very Low
88,2021,Tirunelveli,Economic Offense,Female,Morning,Semi-Urban,5,Yes,Low
89,2014,Erode,Cyber Crime,Other,Morning,Semi-Urban,3,Yes,Low
90,2021,Tirunelveli,Economic Offense,Female,Afternoon,Semi-Urban,5,No,Moderate
91,2021,Vellore,Economic Offense,Other,Night,Semi-Urban,1,Yes,Low
92,2024,Thoothukudi,Economic Offense,Other,Afternoon,Rural,4,No,Moderate
93,2016,Madurai,Violent Crime,Male,Evening,Semi-Urban,4,Yes,Moderate
94,2014,Dindigul,Economic Offense,Other,Afternoon,Semi-Urban,3,Yes,Low
95,2021,Tiruchirappalli,Sexual Crime,Female,Afternoon,Urban,3,No,High
96,2016,Vellore,Sexual Crime,Other,Evening,Semi-Urban,5,Yes,Moderate
97,2016,Tirunelveli,Property Crime,Male,Evening,Rural,3,No,Moderate
98,2014,Salem,Violent Crime,Female,Evening,Semi-Urban,5,No,Moderate
